Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-052,Canton Garden,615 Pike St.,Seattle,WA,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,3.84 mm,6.50 mm,4.00 cm,2.00 mm,B,0,120.00 ml,122.43 g,
FSL-073,Canton Garden,615 Pike St.,Seattle,WA,,,,,Women/Characters,,,,,Saucer,12.50 cm,2.00 cm,5.00 mm,,7.00 cm,,B,0,,163.20 g,
FSL-074,Canton Garden,615 Pike St.,Seattle,WA,,,,,Women/Characters,,,,,Saucer,12.50 cm,2.00 cm,4.68 mm,,7.00 cm,,D,0,,150.84 g,
FSL-178,Canton Restaurant,950 S. Sycamore St.,Pettersburg,VA,,,,,Women/Characters,,,,Tall Pagoda with ridge over a river along with a Tree and Crane Depicted ,Tea Cup,7.50 cm,5.00 cm,5.92 mm,8.16 mm,4.00 cm,3.00 mm,D,0,100.00 ml,141.65 g,
FSL-207,Cathay City,266 N. Main St. Route 28,Randolph,MA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,6.27 mm,,5.00 cm,,D,0,,110.42 g,
FSL-196,Cathay Garden,Route 110,Lowell,MA,1956,1980,,,Women/Characters,,,,A Black and White Dragon and Pearl,Tea Cup,7.50 cm,5.00 cm,8.13 mm,8.74 mm,4.00 cm,2.00 mm,D,0,90.00 ml,185.34 g,
FSL-197,Cathay Garden,Route 110,Lowell,MA,1956,1980,,,Women/Characters,,,,A Black and White Dragon and Pearl,Tea Cup,7.50 cm,5.00 cm,7.56 mm,9.13 mm,4.00 cm,2.00 mm,D,0,90.00 ml,178.66 g,
FSL-198,Cathay Garden,Route 110,Lowell,MA,1956,1980,,,Women/Characters,,,,A Black and White Dragon and Pearl,Tea Cup,8.00 cm,5.00 cm,8.16 mm,8.66 mm,4.00 cm,2.00 mm,D,0,90.00 ml,185.98 g,
FSL-199,Cathay Garden,Route 110,Lowell,MA,1956,1980,,,Women/Characters,,,,A Black and White Dragon and Pearl,Tea Cup,7.50 cm,5.00 cm,6.87 mm,8.50 mm,4.00 cm,2.00 mm,D,0,100.00 ml,157.55 g,
FSL-147,Cathay House,"3500 Alta Mere Dr., Weatherford Traffic Circle",Fort Worth,TX,,,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,4.76 mm,6.50 mm,4.00 cm,2.00 mm,B,0,110.00 ml,132.88 g,
FSL-047,Cathay Inn,N. 3714 Division St.,Spokane,WA,1950,,,,Dragon/Phoenix,,1983,A-VI,,Tea Cup,8.00 cm,5.50 cm,6.79 mm,8.00 mm,3.50 cm,4.00 mm,C,0,110.00 ml,165.00 g,
FSL-140,Chan's Restaurant ,416 W. Main St. ,Peoria,IL,,,,,Bird/Flowers,,,B-V,,Ash Tray,10.00 cm,2.50 cm,6.49 mm,,5.00 cm,,G,0,,112.70 g,
